time,response
0,0
0.01,0.239676
0.02,0.478634
0.03,0.716877
0.04,0.954405
0.05,1.19122
0.06,1.42733
0.07,1.66273
0.08,1.89742
0.09,2.13142
0.1,2.36471
0.11,2.5973
0.12,2.82919
0.13,3.06039
0.14,3.2909
0.15,3.52072
0.16,3.74985
0.17,3.97829
0.18,4.20605
0.19,4.43312
0.2,4.65952
0.21,4.88523
0.22,5.11027
0.23,5.33464
0.24,5.55833
0.25,5.78136
0.26,6.00371
0.27,6.2254
0.28,6.44643
0.29,6.66679
0.3,6.88649
0.31,7.10554
0.32,7.32393
0.33,7.54166
0.34,7.75874
0.35,7.97517
0.36,8.19096
0.37,8.40609
0.38,8.62058
0.39,8.83443
0.4,9.04764
0.41,9.26021
0.42,9.47215
0.43,9.68344
0.44,9.89411
0.45,10.1041
0.46,10.3135
0.47,10.5223
0.48,10.7305
0.49,10.938
0.5,11.1449
0.51,11.3512
0.52,11.5569
0.53,11.7619
0.54,11.9664
0.55,12.1702
0.56,12.3734
0.57,12.576
0.58,12.778
0.59,12.9794
0.6,13.1802
0.61,13.3804
0.62,13.58
0.63,13.779
0.64,13.9774
0.65,14.1752
0.66,14.3724
0.67,14.569
0.68,14.765
0.69,14.9604
0.7,15.1553
0.71,15.3496
0.72,15.5433
0.73,15.7336
0.74,15.8877
0.75,15.9991
0.76,16.0707
0.77,16.1056
0.78,16.1066
0.79,16.0767
0.8,16.0187
0.81,15.9351
0.82,15.8286
0.83,15.7017
0.84,15.5567
0.85,15.3959
0.86,15.2214
0.87,15.0354
0.88,14.8396
0.89,14.636
0.9,14.4262
0.91,14.2117
0.92,13.9942
0.93,13.7749
0.94,13.5551
0.95,13.3359
0.96,13.1185
0.97,12.9037
0.98,12.6924
0.99,12.4854
1,12.2833
1.01,12.0869
1.02,11.8965
1.03,11.7127
1.04,11.5358
1.05,11.3661
1.06,11.2038
1.07,11.0493
1.08,10.9025
1.09,10.7636
1.1,10.6325
1.11,10.5094
1.12,10.3942
1.13,10.2867
1.14,10.1869
1.15,10.0945
1.16,10.0095
1.17,9.93171
1.18,9.86081
1.19,9.79662
1.2,9.7389
1.21,9.68738
1.22,9.6418
1.23,9.6019
1.24,9.56739
1.25,9.53798
1.26,9.51341
1.27,9.49337
1.28,9.47759
1.29,9.46579
1.3,9.45768
1.31,9.453
1.32,9.45149
1.33,9.45287
1.34,9.4569
1.35,9.46334
1.36,9.47194
1.37,9.48249
1.38,9.49475
1.39,9.50853
1.4,9.52363
1.41,9.53985
1.42,9.55703
1.43,9.57499
1.44,9.59358
1.45,9.61265
1.46,9.63206
1.47,9.65169
1.48,9.67141
1.49,9.69112
1.5,9.71073
1.51,9.73014
1.52,9.74927
1.53,9.76804
1.54,9.7864
1.55,9.80428
1.56,9.82164
1.57,9.83842
1.58,9.85461
1.59,9.87015
1.6,9.88504
1.61,9.89925
1.62,9.91276
1.63,9.92557
1.64,9.93767
1.65,9.94906
1.66,9.95975
1.67,9.96973
1.68,9.97902
1.69,9.98763
1.7,9.99557
1.71,10.0029
1.72,10.0095
1.73,10.0156
1.74,10.021
1.75,10.0259
1.76,10.0303
1.77,10.0341
1.78,10.0374
1.79,10.0403
1.8,10.0427
1.81,10.0447
1.82,10.0463
1.83,10.0475
1.84,10.0484
1.85,10.0489
1.86,10.0492
1.87,10.0492
1.88,10.049
1.89,10.0485
1.9,10.0478
1.91,10.0469
1.92,10.0459
1.93,10.0447
1.94,10.0434
1.95,10.042
1.96,10.0405
1.97,10.0389
1.98,10.0373
1.99,10.0356
