time,omega,theta,control,error,reference
0.000000,0.000000,0.000000,12.000000,10.000000,10.000000
0.010000,0.239676,0.001079,12.000000,9.760324,10.000000
0.020000,0.478634,0.004552,12.000000,9.521366,10.000000
0.030000,0.716877,0.010411,12.000000,9.283123,10.000000
0.040000,0.954405,0.018649,12.000000,9.045595,10.000000
0.050000,1.191222,0.029259,12.000000,8.808778,10.000000
0.060000,1.427330,0.042235,12.000000,8.572670,10.000000
0.070000,1.662730,0.057568,12.000000,8.337270,10.000000
0.080000,1.897424,0.075252,12.000000,8.102576,10.000000
0.090000,2.131416,0.095280,12.000000,7.868584,10.000000
0.100000,2.364707,0.117644,12.000000,7.635293,10.000000
0.110000,2.597298,0.142338,12.000000,7.402702,10.000000
0.120000,2.829193,0.169356,12.000000,7.170807,10.000000
0.130000,3.060393,0.198688,12.000000,6.939607,10.000000
0.140000,3.290901,0.230330,12.000000,6.709099,10.000000
0.150000,3.520718,0.264274,12.000000,6.479282,10.000000
0.160000,3.749846,0.300513,12.000000,6.250154,10.000000
0.170000,3.978288,0.339040,12.000000,6.021712,10.000000
0.180000,4.206046,0.379848,12.000000,5.793954,10.000000
0.190000,4.433121,0.422931,12.000000,5.566879,10.000000
0.200000,4.659516,0.468282,12.000000,5.340484,10.000000
0.210000,4.885232,0.515893,12.000000,5.114768,10.000000
0.220000,5.110272,0.565759,12.000000,4.889728,10.000000
0.230000,5.334639,0.617872,12.000000,4.665361,10.000000
0.240000,5.558332,0.672225,12.000000,4.441668,10.000000
0.250000,5.781356,0.728813,12.000000,4.218644,10.000000
0.260000,6.003712,0.787627,12.000000,3.996288,10.000000
0.270000,6.225401,0.848663,12.000000,3.774599,10.000000
0.280000,6.446426,0.911912,12.000000,3.553574,10.000000
0.290000,6.666790,0.977368,12.000000,3.333210,10.000000
0.300000,6.886492,1.045025,12.000000,3.113508,10.000000
0.310000,7.105537,1.114876,12.000000,2.894463,10.000000
0.320000,7.323925,1.186915,12.000000,2.676075,10.000000
0.330000,7.541660,1.261135,12.000000,2.458340,10.000000
